task_family,dataset,agent_model,method,ppo_used,cs,ca,metric,optimizer_name,metaprompt_style,num_fewshot,top_k,top_k_prompts,valset_size,num_iterations,total_iterations,epochs,train_size,batch_size,prompt_per_example,global_step,final_score,rollouts,rollouts_budget,test_size,input_tokens,output_tokens,real_cost_usd,estimated_cost_usd,runtime_mins,seed,project,run_name,run_id
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,39.3617033958435,,,,,,,,7.4,42.0,mmlu,professional_accountingmeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,iav3ecrn
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,39.3617033958435,,,,,,,,7.4,42.0,mmlu,professional_accountingmeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,24k8n30y
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,40.07092118263244,,,,,,,,4.43,42.0,mmlu,professional_accountingmeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,7ldqkha7
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,43.26241016387939,,,20.0,,,,,10.23,,mmlu,professional_accountingmeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,e2wp27zg
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0),True,0.0,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,40.42553305625915,600.0,,282.0,239700.0,,,,6.07,3.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5,m32qh35f
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0),True,0.0,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,45.035460591316216,600.0,,282.0,295650.0,,,,6.07,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,bhs7fk4b
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.05),True,0.05,3.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,41.13475084304809,600.0,,282.0,292050.0,,,,3.35,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,kyf7x3w1
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.05),True,0.05,3.0,,,,,1.0,,,,,30.0,5.0,4.0,4.0,59.0,45.035460591316216,960.0,,282.0,530880.0,,,,5.08,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5,b6r5u812
MMLU,PROFESSIONAL_ACCOUNTING,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0.1),True,0.1,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,45.035460591316216,600.0,,282.0,295650.0,,,,6.07,42.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5,n7cxokpv
MMLU,PROFESSIONAL_ACCOUNTING,jingyaogong/MiniMind2,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,25.886523723602288,,,20.0,,,,,9.47,,mmlu,professional_accountingmeta_changejingyaogong/MiniMind2_jingyaogong/MiniMind2,6ud4n1ee
MMLU,PROFESSIONAL_LAW,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,38.78748416900635,,,,,,,,45.4,42.0,mmlu,professional_lawmeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,lar7co0t
MMLU,PROFESSIONAL_LAW,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,38.78748416900635,,,,,,,,45.35,42.0,mmlu,professional_lawmeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,9xal8yfk
MMLU,PROFESSIONAL_LAW,google/gemma-1.1-7b-it,AlgPrompt,False,,,,,,,1.0,,,,,30.0,,4.0,3.0,,40.22164344787597,,,,,,,,23.18,42.0,mmlu,professional_lawmeta_changegoogle/gemma-1.1-7b-it_google/gemma-1.1-7b-it,v0c8znj8
MMLU,PROFESSIONAL_LAW,google/gemma-1.1-7b-it,StablePrompt-PPO(cs=0),True,0.0,10.0,,,,,1.0,,,,,30.0,5.0,5.0,4.0,29.0,39.43937420845032,600.0,,1534.0,326550.0,,,,21.2,3.0,GFB_QA,gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5,qy4c8yur
